,mature_name,Tau_gtex,gtex_tissues
0,hsa-mir-302a-3p,0.9807222317927493,"Heart [0.67], Brain [0.13], Soft Tissues [0.03]"
1,hsa-mir-302b-3p,0.9799955977160044,"Heart [0.67], Brain [0.18], Soft Tissues [0.06]"
2,hsa-mir-302a-5p,0.9776416270736205,"Heart [0.64], Brain [0.10], Testis [0.06]"
3,hsa-mir-302d-3p,0.9775959037904315,"Heart [0.64], Brain [0.11], Soft Tissues [0.05]"
4,hsa-mir-486-5p,0.9741317162058793,"Whole Blood [0.61], Fallopian Tube [0.31], Lung [0.04]"
5,hsa-mir-520a-3p,0.9740987073276046,"Testis [0.61], Omentum [0.07], Breast [0.04]"
6,hsa-mir-122-3p,0.9738736370457586,"Liver [0.60], Whole Blood [0.14], Omentum [0.06]"
7,hsa-mir-520f-3p,0.9718759962543149,"Testis [0.59], Omentum [0.10], Breast [0.06]"
8,hsa-mir-515-5p,0.9710645645220893,"Testis [0.58], Omentum [0.09], Breast [0.07]"
9,hsa-mir-520c-3p,0.970949735004096,"Testis [0.58], Omentum [0.11], Breast [0.07]"
10,hsa-mir-507,0.967480182854976,"Testis [0.55], Kidney [0.13], Adrenal Gland [0.11]"
11,hsa-mir-371a-3p,0.9654030652964066,"Testis [0.54], Heart [0.26], Brain [0.05]"
12,hsa-mir-215-3p,0.9650773490426918,"Colon–Intestine [0.53], Omentum [0.11], Testis [0.07]"
13,hsa-mir-520a-5p,0.957919433816352,"Testis [0.49], Omentum [0.13], Breast [0.09]"
14,hsa-mir-512-3p,0.9578541391606352,"Testis [0.49], Omentum [0.14], Heart [0.10]"
15,hsa-mir-191-3p,0.9540845517798076,"Whole Blood [0.47], Heart [0.14], Esophagus [0.08]"
16,hsa-mir-1298-3p,0.9508523200385642,"Brain [0.45], Vagina [0.20], Fallopian Tube [0.04]"
17,hsa-mir-518e-3p,0.9489015982810514,"Testis [0.44], Omentum [0.12], Lung [0.10]"
18,hsa-mir-498-5p,0.9473520907605725,"Testis [0.43], Omentum [0.11], Breast [0.09]"
19,hsa-mir-519d-3p,0.9466148970993206,"Testis [0.43], Omentum [0.13], Breast [0.09]"
20,hsa-mir-518a-3p,0.9464500912483186,"Testis [0.43], Omentum [0.11], Lung [0.10]"
21,hsa-mir-372-3p,0.9418407444372789,"Testis [0.41], Heart [0.21], Brain [0.16]"
22,hsa-mir-519a-5p,0.937438036641447,"Testis [0.39], Lung [0.10], Thyroid [0.10]"
23,hsa-mir-517c-3p,0.9349918282392727,"Testis [0.38], Omentum [0.11], Breast [0.08]"
24,hsa-mir-373-3p,0.9345474702826374,"Testis [0.38], Heart [0.17], Brain [0.07]"
25,hsa-mir-105-5p,0.9220540328995287,"Brain [0.34], Testis [0.28], Soft Tissues [0.05]"
26,hsa-mir-514a-5p,0.916267409937518,"Testis [0.32], Kidney [0.16], Adrenal Gland [0.12]"
27,hsa-mir-514b-5p,0.9157676465592729,"Testis [0.32], Kidney [0.15], Adrenal Gland [0.12]"
28,hsa-mir-211-5p,0.9140866981258645,"Skin [0.32], Brain [0.19], Salivary Gland [0.16]"
29,hsa-mir-552-3p,0.9126800995635154,"Colon–Intestine [0.31], Brain [0.23], Liver [0.12]"
30,hsa-mir-518b,0.905616156198361,"Testis [0.30], Omentum [0.15], Breast [0.12]"
31,hsa-mir-216a-3p,0.9051616498772621,"Pancreas [0.30], Soft Tissues [0.08], Testis [0.07]"
32,hsa-mir-1323,0.9000261118126573,"Testis [0.29], Omentum [0.12], Breast [0.09]"
33,hsa-mir-508-5p,0.8911081077620334,"Testis [0.27], Ovary [0.14], Kidney [0.13]"
34,hsa-mir-516b-5p,0.8851398473032994,"Testis [0.26], Thyroid [0.20], Omentum [0.14]"
35,hsa-mir-216a-5p,0.8827111362205943,"Pancreas [0.25], Soft Tissues [0.08], Kidney [0.07]"
36,hsa-mir-522-3p,0.8813750831017102,"Testis [0.25], Lung [0.18], Thyroid [0.13]"
37,hsa-mir-1911-5p,0.8741266548390983,"Vagina [0.24], Brain [0.19], Testis [0.10]"
38,hsa-mir-217-5p,0.8727771012862954,"Pancreas [0.24], Kidney [0.08], Soft Tissues [0.07]"
39,hsa-mir-449c-5p,0.8688869017312557,"Fallopian Tube [0.23], Testis [0.22], Lung [0.19]"
40,hsa-mir-517a-3p,0.8682333400760923,"Testis [0.23], Omentum [0.12], Breast [0.10]"
41,hsa-mir-517b-3p,0.8682333400760923,"Testis [0.23], Omentum [0.12], Breast [0.10]"
42,hsa-mir-449a,0.8651359573149996,"Testis [0.23], Fallopian Tube [0.19], Lung [0.15]"
43,hsa-mir-137-3p,0.8651349572290691,"Brain [0.23], Adrenal Gland [0.13], Colon–Intestine [0.06]"
44,hsa-mir-513a-5p,0.8635276265618708,"Testis [0.23], Adrenal Gland [0.12], Kidney [0.11]"
45,hsa-mir-1251-5p,0.8622932668558204,"Thyroid [0.23], Brain [0.20], Kidney [0.17]"
46,hsa-mir-1269a,0.8465107794215306,"Kidney [0.21], Bladder [0.14], Testis [0.12]"
47,hsa-mir-431-3p,0.8463125234617976,"Brain [0.21], Adrenal Gland [0.16], Spleen [0.07]"
48,hsa-mir-513c-5p,0.8273672660228497,"Testis [0.19], Ovary [0.11], Adrenal Gland [0.10]"
49,hsa-mir-184,0.8239744165689558,"Brain [0.19], Kidney [0.15], Lung [0.14]"
50,hsa-mir-192-3p,0.8235975505243777,"Liver [0.18], Colon–Intestine [0.17], Kidney [0.16]"
51,hsa-mir-509-3p,0.8185982130476984,"Testis [0.18], Ovary [0.11], Kidney [0.11]"
52,hsa-mir-506-3p,0.8181494601374597,"Testis [0.18], Adrenal Gland [0.11], Kidney [0.11]"
53,hsa-mir-935,0.8166043213483382,"Brain [0.18], Testis [0.09], Soft Tissues [0.07]"
54,hsa-mir-129-2-3p,0.8142182947954804,"Brain [0.18], Testis [0.12], Adrenal Gland [0.08]"
55,hsa-mir-485-5p,0.8039256141656069,"Adrenal Gland [0.17], Brain [0.16], Ovary [0.08]"
56,hsa-mir-133a-5p,0.7957812478192342,"Heart [0.16], Soft Tissues [0.16], Salivary Gland [0.07]"
57,hsa-mir-34b-3p,0.7929366603131038,"Testis [0.16], Fallopian Tube [0.16], Lung [0.14]"
58,hsa-mir-885-5p,0.7912866584067697,"Liver [0.16], Brain [0.14], Whole Blood [0.12]"
59,hsa-mir-376b-3p,0.7890759708785133,"Adrenal Gland [0.16], Spleen [0.08], Brain [0.08]"
60,hsa-mir-215-5p,0.7807766444308646,"Colon–Intestine [0.15], Omentum [0.08], Liver [0.07]"
61,hsa-mir-944,0.778545692083064,"Skin [0.15], Mucosa [0.15], Vagina [0.11]"
62,hsa-mir-934,0.7772280801007545,"Bladder [0.15], Salivary Gland [0.13], Kidney [0.11]"
63,hsa-mir-219a-2-3p,0.7756590590273076,"Brain [0.15], Whole Blood [0.05], Liver [0.05]"
64,hsa-mir-124-3p,0.7714362753101297,"Brain [0.15], Whole Blood [0.06], Liver [0.05]"
65,hsa-mir-194-3p,0.7707549106082285,"Liver [0.15], Colon–Intestine [0.14], Kidney [0.12]"
66,hsa-mir-216b-5p,0.7662489808355368,"Pancreas [0.15], Liver [0.06], Kidney [0.06]"
67,hsa-mir-219a-5p,0.7619939103498469,"Brain [0.14], Mucosa [0.05], Liver [0.05]"
68,hsa-mir-34c-3p,0.7461509363780624,"Testis [0.14], Fallopian Tube [0.12], Lung [0.11]"
69,hsa-mir-1298-5p,0.744059388174039,"Vagina [0.14], Brain [0.13], Prostate [0.07]"
70,hsa-mir-508-3p,0.7422539759864109,"Testis [0.13], Ovary [0.09], Adrenal Gland [0.08]"
71,hsa-mir-654-5p,0.7368171494524016,"Adrenal Gland [0.13], Brain [0.08], Spleen [0.07]"
72,hsa-mir-629-3p,0.719610997164241,"Whole Blood [0.12], Spleen [0.08], Mucosa [0.07]"
73,hsa-mir-653-5p,0.7159522441367246,"Kidney [0.12], Brain [0.08], Lung [0.07]"
74,hsa-mir-122-5p,0.715847148217017,"Liver [0.12], Whole Blood [0.08], Omentum [0.06]"
75,hsa-mir-323b-3p,0.7136848860521748,"Adrenal Gland [0.12], Brain [0.12], Kidney [0.06]"
76,hsa-mir-758-3p,0.7107945660525672,"Adrenal Gland [0.12], Brain [0.11], Testis [0.08]"
77,hsa-mir-383-5p,0.7024120279466459,"Brain [0.12], Ovary [0.10], Testis [0.08]"
78,hsa-mir-412-5p,0.7007672877180292,"Adrenal Gland [0.12], Brain [0.10], Spleen [0.07]"
79,hsa-mir-539-3p,0.6927510905494725,"Adrenal Gland [0.12], Brain [0.11], Testis [0.06]"
