,mature_name,Tau_tcga,tcga_tissues
0,hsa-mir-302d-3p,0.9855297854111978,"Testis [0.74], Stomach [0.09], Liver–Gallbladder [0.04]"
1,hsa-mir-302a-3p,0.983758108210162,"Testis [0.72], Stomach [0.13], Liver–Gallbladder [0.04]"
2,hsa-mir-302a-5p,0.9725962880312328,"Testis [0.60], Stomach [0.08], Liver–Gallbladder [0.06]"
3,hsa-mir-302b-3p,0.968537736467869,"Testis [0.57], Stomach [0.12], Liver–Gallbladder [0.06]"
4,hsa-mir-122-3p,0.9658237708389749,"Liver–Gallbladder [0.55], Kidney [0.15], Testis [0.10]"
5,hsa-mir-371a-3p,0.9067698721360178,"Testis [0.31], Esophagus [0.13], Thorax [0.08]"
6,hsa-mir-219a-2-3p,0.9036528500632559,"Brain [0.30], Testis [0.17], Uterus [0.09]"
7,hsa-mir-211-5p,0.8981557562900564,"Skin [0.29], Kidney [0.08], Uterus [0.08]"
8,hsa-mir-215-3p,0.8955122221711198,"Pancreas [0.29], Stomach [0.18], Esophagus [0.17]"
9,hsa-mir-1298-3p,0.8859177507654717,"Testis [0.27], Brain [0.24], Ovary [0.06]"
10,hsa-mir-373-3p,0.8669768901693468,"Testis [0.24], Esophagus [0.11], Stomach [0.08]"
11,hsa-mir-216a-3p,0.863308062692279,"Pancreas [0.23], Liver–Gallbladder [0.16], Soft Tissues [0.13]"
12,hsa-mir-507,0.8628330638507548,"Adrenal Gland [0.23], Skin [0.19], Testis [0.15]"
13,hsa-mir-133a-5p,0.8626141241522126,"Mucosa [0.23], Uterus [0.09], Pancreas [0.08]"
14,hsa-mir-216b-5p,0.8613463625644666,"Pancreas [0.23], Liver–Gallbladder [0.15], Kidney [0.08]"
15,hsa-mir-1298-5p,0.8491089211805094,"Testis [0.22], Brain [0.16], Kidney [0.09]"
16,hsa-mir-124-3p,0.8482585973171558,"Brain [0.22], Testis [0.10], Kidney [0.09]"
17,hsa-mir-498-5p,0.8430690949598598,"Testis [0.21], Thymus [0.16], Thorax [0.15]"
18,hsa-mir-934,0.8417132408126311,"Bladder [0.21], Breast [0.10], Lung [0.09]"
19,hsa-mir-520c-3p,0.8363216010820103,"Testis [0.20], Thorax [0.14], Thymus [0.14]"
20,hsa-mir-517c-3p,0.8305735910763583,"Thymus [0.20], Thorax [0.19], Testis [0.18]"
21,hsa-mir-520f-3p,0.8283619603004576,"Testis [0.20], Thorax [0.14], Thymus [0.14]"
22,hsa-mir-515-5p,0.82729665705987,"Testis [0.19], Thymus [0.17], Thorax [0.16]"
23,hsa-mir-552-3p,0.8269936370724288,"Colon [0.19], Liver–Gallbladder [0.14], Stomach [0.14]"
24,hsa-mir-122-5p,0.8260838997084653,"Liver–Gallbladder [0.19], Testis [0.09], Kidney [0.09]"
25,hsa-mir-514b-5p,0.8242144895505171,"Skin [0.19], Adrenal Gland [0.16], Testis [0.11]"
26,hsa-mir-449c-5p,0.8208800895929281,"Fallopian tube [0.19], Ovary [0.17], Uterus [0.17]"
27,hsa-mir-514a-5p,0.7946965851921899,"Adrenal Gland [0.17], Skin [0.16], Testis [0.13]"
28,hsa-mir-520a-5p,0.7915873554847613,"Testis [0.17], Thymus [0.15], Thorax [0.15]"
29,hsa-mir-518a-3p,0.790747084645334,"Testis [0.17], Thymus [0.15], Thorax [0.15]"
30,hsa-mir-519d-3p,0.7795668635670823,"Thymus [0.16], Thorax [0.16], Testis [0.15]"
31,hsa-mir-518e-3p,0.7779958480886622,"Testis [0.16], Thymus [0.15], Thorax [0.15]"
32,hsa-mir-372-3p,0.7759429096240976,"Testis [0.16], Esophagus [0.10], Thorax [0.08]"
33,hsa-mir-1323,0.767705117526337,"Testis [0.15], Thymus [0.14], Thorax [0.14]"
34,hsa-mir-1251-5p,0.7618541691987768,"Thyroid [0.15], Testis [0.09], Fallopian tube [0.07]"
35,hsa-mir-219a-5p,0.7529282140927193,"Brain [0.14], Bone Marrow [0.07], Lymph nodes [0.06]"
36,hsa-mir-1911-5p,0.7528362465025419,"Testis [0.14], Brain [0.13], Lung [0.09]"
37,hsa-mir-216a-5p,0.7517013176138367,"Pancreas [0.14], Liver–Gallbladder [0.13], Soft Tissues [0.10]"
38,hsa-mir-449a,0.7504139379980709,"Uterus [0.14], Fallopian tube [0.13], Ovary [0.12]"
39,hsa-mir-506-3p,0.7486161506980906,"Skin [0.14], Adrenal Gland [0.13], Testis [0.09]"
40,hsa-mir-190b-5p,0.7435202318457946,"Breast [0.14], Uterus [0.09], Fallopian tube [0.08]"
41,hsa-mir-520a-3p,0.7371559895298727,"Testis [0.14], Thymus [0.13], Thorax [0.13]"
42,hsa-mir-499a-5p,0.7368715161857636,"Uterus [0.14], Mucosa [0.11], Kidney [0.09]"
43,hsa-mir-512-3p,0.7322946103146059,"Testis [0.13], Thorax [0.11], Thymus [0.11]"
44,hsa-mir-513c-5p,0.7311324319107749,"Skin [0.13], Adrenal Gland [0.12], Fallopian tube [0.12]"
45,hsa-mir-513a-5p,0.7306557259623639,"Adrenal Gland [0.13], Skin [0.13], Fallopian tube [0.12]"
46,hsa-mir-9-3p,0.7274681593076004,"Brain [0.13], Uterus [0.09], Lung [0.07]"
47,hsa-mir-137-3p,0.7223242430360832,"Adrenal Gland [0.13], Brain [0.10], Peritoneum [0.09]"
48,hsa-mir-516b-5p,0.7216197908588787,"Thymus [0.13], Thorax [0.13], Testis [0.12]"
49,hsa-mir-509-3-5p,0.7214480695657662,"Skin [0.13], Adrenal Gland [0.12], Fallopian tube [0.10]"
50,hsa-mir-522-3p,0.7176530453514899,"Thymus [0.13], Thorax [0.13], Testis [0.12]"
