mature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,project_id,n_normal,n_tumor
hsa-let-7a-3p,64.75696218486085,0.637510296061688,0.33288293726468915,1.915118573814965,0.05547738361182953,0.07813417768230953,CGCI-BLGSP,10,236
hsa-let-7b-3p,15.362113346965083,1.3614345565439463,0.3600438390773068,3.781302188180551,0.00015601016035719098,0.0003366535039286753,CGCI-BLGSP,10,236
hsa-let-7b-5p,13944.330305979878,1.8913200660573024,0.3365769074229961,5.619280539886738,1.9175427804392854e-08,6.491498036532993e-08,CGCI-BLGSP,10,236
hsa-let-7d-3p,1291.7010468579872,-0.5859771531254012,0.3753865433288564,-1.5609966940452031,0.11852453089755786,0.151859555212496,CGCI-BLGSP,10,236
hsa-let-7d-5p,823.7627906450806,-0.631047850305828,0.21327590515452519,-2.958833300220265,0.003088060989807312,0.00532474067868644,CGCI-BLGSP,10,236
hsa-let-7e-3p,7.820159558282354,5.2775872214808635,0.8687065735267967,6.075224226812033,1.238145892791903e-09,4.91264338107755e-09,CGCI-BLGSP,10,236
hsa-let-7e-5p,1886.7032365781815,1.6213290072701654,0.33520667856691877,4.8368040105934,1.3194340860388638e-06,3.6606855469800055e-06,CGCI-BLGSP,10,236
hsa-let-7g-5p,7385.430646613265,1.0387347923778623,0.30242691137459543,3.4346638917039134,0.0005932891901525934,0.0011644878253526966,CGCI-BLGSP,10,236
hsa-let-7i-3p,301.18706080703686,2.0717799392856726,0.4328381641651903,4.786500153657867,1.6971480943018512e-06,4.604762108804288e-06,CGCI-BLGSP,10,236
hsa-let-7i-5p,2829.53218861781,0.8883268048790722,0.2152900398630046,4.126186262236473,3.688285830930532e-05,8.506109197583539e-05,CGCI-BLGSP,10,236
hsa-mir-1-3p,101.22253032477525,5.617548416493297,0.8846837575272131,6.349781341295282,2.156211866219244e-10,9.702953397986599e-10,CGCI-BLGSP,10,236
hsa-mir-100-5p,3628.1752367779477,5.645999081832255,0.42741782670991435,13.209554513186363,7.728043460521218e-40,2.193575413024869e-38,CGCI-BLGSP,10,236
hsa-mir-101-3p,20394.99078874444,1.3168097143055995,0.25047465137412145,5.257257399427405,1.4621959180290679e-07,4.6512956357993623e-07,CGCI-BLGSP,10,236
hsa-mir-105-5p,0.6739458247579723,2.1143517102833758,1.7354555750406822,1.2183266115779492,0.22309988122483337,0.2690322097122991,CGCI-BLGSP,10,236
hsa-mir-106b-3p,3500.5791021445943,0.17205780633830567,0.26046399881106164,0.6605819119866733,0.5088804720774791,0.5690208915048175,CGCI-BLGSP,10,236
hsa-mir-107,372.5919759448107,0.48511278119436213,0.19766291722288976,2.4542427482608513,0.014118164018145281,0.022074586960574613,CGCI-BLGSP,10,236
hsa-mir-10a-3p,0.5969488383291348,2.198262599676735,1.4065186135127354,1.5629104219151744,0.11807366597342425,0.15180899910868834,CGCI-BLGSP,10,236
hsa-mir-10b-3p,13.994827609732182,6.464539969182619,0.9531721651707338,6.782132552123655,1.1841474919735991e-11,6.332614848380551e-11,CGCI-BLGSP,10,236
hsa-mir-10b-5p,44072.54047752171,8.645647714360004,0.4316841101371002,20.027718211852182,3.157998934895611e-89,3.884338689921601e-87,CGCI-BLGSP,10,236
hsa-mir-1180-3p,75.53039340032333,1.539188243645273,0.420017983027182,3.6645770082317224,0.00024774769105165436,0.0005135893145958452,CGCI-BLGSP,10,236
hsa-mir-122-3p,0.6859313230567456,2.352221295335236,7.438867860777515,0.31620689322062784,0.751845475950812,0.7837033351012702,CGCI-BLGSP,10,236
