,term,description,count,miRNAs
0,GO:0019222,Regulation of metabolic process,2,"mir-512-3p, mir-935"
1,GO:0036211,Protein modification process,2,"mir-512-3p, mir-935"
2,GO:0009056,Catabolic process,2,"mir-512-3p, mir-935"
3,GO:0009057,Macromolecule catabolic process,2,"mir-512-3p, mir-935"
4,GO:0044265,Cellular macromolecule catabolic process,2,"mir-512-3p, mir-935"
5,GO:0044248,Cellular catabolic process,2,"mir-512-3p, mir-935"
6,GO:0044238,Primary metabolic process,2,"mir-512-3p, mir-935"
7,GO:0043412,Macromolecule modification,2,"mir-512-3p, mir-935"
8,GO:0043170,Macromolecule metabolic process,2,"mir-512-3p, mir-935"
9,HSA-74160,Gene expression (Transcription),2,"mir-512-3p, mir-935"
10,HSA-73857,RNA Polymerase II Transcription,2,"mir-512-3p, mir-935"
11,GO:0071704,Organic substance metabolic process,2,"mir-512-3p, mir-935"
12,GO:0008152,Metabolic process,2,"mir-512-3p, mir-935"
13,GO:0071705,Nitrogen compound transport,2,"mir-512-3p, mir-935"
14,GO:0080090,Regulation of primary metabolic process,2,"mir-512-3p, mir-935"
15,GO:0015031,Protein transport,2,"mir-512-3p, mir-935"
16,HSA-212436,Generic Transcription Pathway,2,"mir-512-3p, mir-935"
17,GO:1901564,Organonitrogen compound metabolic process,2,"mir-512-3p, mir-935"
18,GO:0019219,Regulation of nucleobase-containing compound metabolic process,2,"mir-512-3p, mir-935"
19,GO:0019538,Protein metabolic process,2,"mir-512-3p, mir-935"
20,HSA-168256,Immune System,2,"mir-512-3p, mir-935"
21,GO:0031323,Regulation of cellular metabolic process,2,"mir-512-3p, mir-935"
22,GO:0045184,Establishment of protein localization,2,"mir-512-3p, mir-935"
23,GO:0044237,Cellular metabolic process,2,"mir-512-3p, mir-935"
24,GO:0008104,Protein localization,2,"mir-512-3p, mir-935"
25,GO:0046907,Intracellular transport,2,"mir-512-3p, mir-935"
26,GO:0051252,Regulation of RNA metabolic process,2,"mir-512-3p, mir-935"
27,GO:0006807,Nitrogen compound metabolic process,2,"mir-512-3p, mir-935"
28,hsa05214,Glioma,2,"mir-105-5p, mir-522-3p"
29,hsa05215,Prostate cancer,2,"mir-105-5p, mir-522-3p"
30,GO:0051171,Regulation of nitrogen compound metabolic process,2,"mir-512-3p, mir-935"
31,GO:1901800,Positive regulation of proteasomal protein catabolic process,1,mir-935
32,GO:0051246,Regulation of protein metabolic process,1,mir-935
33,GO:1901701,Cellular response to oxygen-containing compound,1,mir-935
34,GO:0072594,Establishment of protein localization to organelle,1,mir-935
35,GO:1901700,Response to oxygen-containing compound,1,mir-935
36,GO:1901575,Organic substance catabolic process,1,mir-935
37,GO:1901565,Organonitrogen compound catabolic process,1,mir-935
38,GO:2000112,Regulation of cellular macromolecule biosynthetic process,1,mir-935
39,GO:2000113,Negative regulation of cellular macromolecule biosynthetic process,1,mir-935
40,GO:0051248,Negative regulation of protein metabolic process,1,mir-935
41,GO:0120032,Regulation of plasma membrane bounded cell projection assembly,1,mir-935
42,GO:0051239,Regulation of multicellular organismal process,1,mir-935
43,GO:0090304,Nucleic acid metabolic process,1,mir-935
44,GO:0051253,Negative regulation of RNA metabolic process,1,mir-935
45,GO:0071840,Cellular component organization or biogenesis,1,mir-935
46,GO:0072359,Circulatory system development,1,mir-935
47,GO:0051649,Establishment of localization in cell,1,mir-935
48,GO:0065009,Regulation of molecular function,1,mir-935
49,GO:0065007,Biological regulation,1,mir-935
50,GO:0060255,Regulation of macromolecule metabolic process,1,mir-935
51,GO:0070887,Cellular response to chemical stimulus,1,mir-935
52,GO:0051668,Localization within membrane,1,mir-935
53,HSA-1280215,Cytokine Signaling in Immune system,1,mir-935
54,GO:0070936,Protein K48-linked ubiquitination,1,mir-935
