,p_value,fdr,description,source,fold_enrichment
17,2.01e-18,3.15e-14,Cellular metabolic process,GO: Biological Process,0.9271936893714965
18,1.18e-17,9.22e-14,Regulation of cellular metabolic process,GO: Biological Process,0.9444990718157441
19,3.26e-16,1.71e-12,Metabolic process,GO: Biological Process,0.887583395472689
20,5.15e-15,2.02e-11,Regulation of metabolic process,GO: Biological Process,0.9022795772616979
21,3.46e-14,1.09e-10,Primary metabolic process,GO: Biological Process,0.890318146304405
22,1.19e-13,3.11e-10,Organic substance metabolic process,GO: Biological Process,0.8809330064464921
23,2.02e-13,4.53e-10,Regulation of primary metabolic process,GO: Biological Process,0.9095947155425058
24,5.6e-13,1.1e-09,Nitrogen compound metabolic process,GO: Biological Process,0.8916313136511637
25,1.11e-12,1.93e-09,Macromolecule metabolic process,GO: Biological Process,0.9065340296799448
26,2.57e-12,4.02e-09,Nitrogen compound transport,GO: Biological Process,1.1177166264888763
28,3.54e-12,5.04e-09,Macromolecule modification,GO: Biological Process,0.9994602136739078
27,3.63e-12,5.04e-09,Macromolecule localization,GO: Biological Process,1.0348077365903594
29,6.47e-12,7.81e-09,Protein localization,GO: Biological Process,1.067085875780185
30,1.15e-11,1.2e-08,Regulation of nitrogen compound metabolic process,GO: Biological Process,0.899428419598205
31,1.25e-11,1.22e-08,Protein modification process,GO: Biological Process,1.0052576777179691
32,1.34e-11,1.24e-08,Regulation of biosynthetic process,GO: Biological Process,0.937818896789035
33,1.49e-11,1.3e-08,Cellular macromolecule catabolic process,GO: Biological Process,1.2857847896874146
34,2.49e-11,2.06e-08,Protein transport,GO: Biological Process,1.1654966232714368
35,2.62e-11,2.06e-08,Establishment of protein localization,GO: Biological Process,1.1467269520942998
36,3.81e-11,2.85e-08,Regulation of macromolecule metabolic process,GO: Biological Process,0.8853257420695392
37,5.9e-11,4.2e-08,Regulation of cellular biosynthetic process,GO: Biological Process,0.9329923268451522
38,7.82e-11,5.33e-08,Organonitrogen compound metabolic process,GO: Biological Process,0.9088502578244271
39,1.01e-10,6.58e-08,Protein metabolic process,GO: Biological Process,0.9379614768697665
40,1.71e-10,1.07e-07,Organic substance transport,GO: Biological Process,1.0408185690159943
41,2.34e-10,1.41e-07,Macromolecule catabolic process,GO: Biological Process,1.1851554733836076
42,4.33e-10,2.51e-07,Intracellular transport,GO: Biological Process,1.1029461051948755
43,6.89e-10,3.86e-07,Regulation of nucleobase-containing compound metabolic process,GO: Biological Process,0.9232201461990422
44,8.79e-10,4.75e-07,Ubiquitin-dependent protein catabolic process,GO: Biological Process,1.3248862605684661
46,1.05e-09,5.34e-07,Modification-dependent macromolecule catabolic process,GO: Biological Process,1.3088551173202778
45,1.02e-09,5.34e-07,Regulation of macromolecule biosynthetic process,GO: Biological Process,0.9240824643244332
47,1.53e-09,7.51e-07,Modification-dependent protein catabolic process,GO: Biological Process,1.3089875642339588
48,1.71e-09,8.11e-07,Proteolysis involved in protein catabolic process,GO: Biological Process,1.2762669634997137
49,2.18e-09,1.01e-06,Regulation of gene expression,GO: Biological Process,0.8964152478806967
50,2.47e-09,1.1e-06,Cellular localization,GO: Biological Process,0.9710492887145935
51,2.67e-09,1.16e-06,Cellular catabolic process,GO: Biological Process,1.0515304130553604
184,1.25e-09,2.85e-06,Gene expression (Transcription),Reactome,1.0764716132755143
52,7.1e-09,3.01e-06,Cellular macromolecule metabolic process,GO: Biological Process,0.9726180111990904
53,1.45e-08,5.97e-06,Cellular response to stress,GO: Biological Process,1.0405577937161035
54,1.64e-08,6.61e-06,Cellular process,GO: Biological Process,0.7860154602951511
55,2.02e-08,7.91e-06,Protein catabolic process,GO: Biological Process,1.1936809184960417
56,2.09e-08,7.98e-06,Regulation of cellular catabolic process,GO: Biological Process,1.1818575333534624
57,2.5e-08,9.35e-06,Regulation of cellular process,GO: Biological Process,0.8117712411739116
58,3.21e-08,1.17e-05,Regulation of RNA metabolic process,GO: Biological Process,0.9118904509710778
59,4.56e-08,1.62e-05,Regulation of catabolic process,GO: Biological Process,1.1178100665469826
185,1.85e-08,2.11e-05,Immune System,Reactome,1.0002922463803883
186,3e-08,2.28e-05,Generic Transcription Pathway,Reactome,1.080471617084407
60,7.06e-08,2.46e-05,Catabolic process,GO: Biological Process,0.9886291862149021
187,5.37e-08,3.07e-05,Diseases of signal transduction by growth factor receptors and second messengers,Reactome,1.3447564104659335
188,7.31e-08,3.34e-05,RNA Polymerase II Transcription,Reactome,1.052013848774619
61,1.75e-07,5.98e-05,Localization,GO: Biological Process,0.8832455218971008
62,1.93e-07,6.32e-05,Positive regulation of biological process,GO: Biological Process,0.8535487046169282
