miRNA,Tau_TCGA,TCGA_tissues,Tau_GTEx,GTEx_tissues,Delta_Tau,DE_n_projects_up,DE_n_projects_down,DE_median_log2fc,DE_median_padj,binom_p_up,binom_p_down,Binomial_result,CPM_GTEx_mean,CPM_GTEx_max,CPM_TCGA_mean,CPM_TCGA_max,TCGA_GTEx_log2FC,MW_statistic_TCGA_GTEx,TCGA_GTEx_p_value,TCGA_GTEx_padj,TCGA_GTEx_Direction,Specificity_class,Dysregulated_class
hsa-mir-302d-3p,0.986,"Testis [0.74], Stomach [0.09], Liver–Gallbladder [0.04]",0.978,"Heart [0.64], Brain [0.11], Soft Tissues [0.05]",0.008,0,0,–,–,–,–,NS,3.104,77.664,44.764,1115.723,0.175,362.0,4.91e-01,5.35e-01,NS,Tissue specific miR,NOT_SIGNIFICANT
hsa-mir-302a-3p,0.984,"Testis [0.72], Stomach [0.13], Liver–Gallbladder [0.04]",0.981,"Heart [0.67], Brain [0.13], Soft Tissues [0.03]",0.003,0,0,–,–,–,–,NS,1.201,29.271,59.586,1484.754,0.315,373.0,3.71e-01,4.23e-01,NS,Tissue specific miR,NOT_SIGNIFICANT
hsa-mir-302a-5p,0.973,"Testis [0.60], Stomach [0.08], Liver–Gallbladder [0.06]",0.978,"Heart [0.64], Brain [0.10], Testis [0.06]",-0.005,0,0,–,–,–,–,NS,1.331,32.331,226.542,5654.405,0.538,280.5,4.07e-01,4.60e-01,NS,Tissue specific miR,NOT_SIGNIFICANT
hsa-mir-302b-3p,0.969,"Testis [0.57], Stomach [0.12], Liver–Gallbladder [0.06]",0.98,"Heart [0.67], Brain [0.18], Soft Tissues [0.06]",-0.011,0,0,–,–,–,–,NS,5.903,149.293,332.034,8287.23,0.517,196.0,1.54e-02,2.23e-02,NS,Tissue specific miR,NOT_SIGNIFICANT
hsa-mir-122-3p,0.966,"Liver–Gallbladder [0.55], Kidney [0.15], Testis [0.10]",0.974,"Liver [0.60], Whole Blood [0.14], Omentum [0.06]",-0.008,2,0,2.156,5.79e-07,2.50e-01,1.00e+00,NS,16.624,426.274,10.856,262.374,0.051,366.0,4.45e-01,4.93e-01,NS,Tissue specific miR,NOT_SIGNIFICANT
hsa-mir-371a-3p,0.907,"Testis [0.31], Esophagus [0.13], Thorax [0.08]",0.965,"Testis [0.54], Heart [0.26], Brain [0.05]",-0.059,1,0,2.446,2.81e-09,5.00e-01,1.00e+00,NS,2.682,61.437,137.487,3361.849,1.126,116.0,7.68e-05,1.70e-04,TCGA_UP,Tissue specific miR,NOT_SIGNIFICANT
hsa-mir-219a-2-3p,0.904,"Brain [0.30], Testis [0.17], Uterus [0.09]",0.776,"Brain [0.15], Whole Blood [0.05], Liver [0.05]",0.128,2,0,4.885,1.82e-04,2.50e-01,1.00e+00,NS,128.165,3188.685,174.995,4212.791,-1.344,520.0,2.48e-04,4.93e-04,GTEx_UP,Cancer-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-211-5p,0.898,"Skin [0.29], Kidney [0.08], Uterus [0.08]",0.914,"Skin [0.32], Brain [0.19], Salivary Gland [0.16]",-0.016,4,3,1.192,5.33e-04,5.00e-01,7.73e-01,NS,5.427,108.496,179.563,4440.904,0.776,162.0,2.20e-03,3.66e-03,NS,Tissue specific miR,NOT_SIGNIFICANT
hsa-mir-215-3p,0.896,"Pancreas [0.29], Stomach [0.18], Esophagus [0.17]",0.965,"Colon–Intestine [0.53], Omentum [0.11], Testis [0.07]",-0.07,0,0,0.795,1.79e-05,–,–,NS,3.284,80.455,3.391,26.963,0.452,279.0,3.91e-01,4.46e-01,NS,Tissue specific miR,NOT_SIGNIFICANT
hsa-mir-1298-3p,0.886,"Testis [0.27], Brain [0.24], Ovary [0.06]",0.951,"Brain [0.45], Vagina [0.20], Fallopian Tube [0.04]",-0.065,1,1,-1.14,3.36e-05,7.50e-01,7.50e-01,NS,2.141,47.739,3.954,53.081,0.386,239.0,1.07e-01,1.36e-01,NS,Tissue specific miR,NOT_SIGNIFICANT
