,mature_name,n_projects_up,n_projects_down,median_log2fc,median_padj,binom_p_up,binom_p_down,Binomial_result
0,hsa-let-7a-3p,0,0,0.29300000000000004,1.8015e-05,,,NS
1,hsa-let-7b-3p,2,1,-0.406,1.46e-06,0.5,0.875,NS
2,hsa-let-7b-5p,2,1,-0.3615,2.52245e-06,0.5,0.875,NS
3,hsa-let-7d-3p,0,1,0.408,6.55e-07,1.0,0.5,NS
4,hsa-let-7d-5p,0,0,0.332,2.79e-07,,,NS
5,hsa-let-7e-3p,1,4,-0.548,1.42e-08,0.96875,0.1875,NS
6,hsa-let-7e-5p,1,2,0.2535,6.755e-06,0.875,0.5,NS
7,hsa-let-7g-5p,1,0,0.23049999999999998,0.000448,0.5,1.0,NS
8,hsa-let-7i-3p,1,1,-0.565,1.55e-09,0.75,0.75,NS
9,hsa-let-7i-5p,0,0,0.3195,3.755e-06,,,NS
10,hsa-mir-1-3p,2,12,-2.117,2.166e-13,0.99908447265625,0.0064697265625,DOWN
11,hsa-mir-100-5p,2,7,-1.248,4.30000213e-12,0.98046875,0.08984375,NS
12,hsa-mir-101-3p,1,3,-0.692,3.1e-07,0.9375,0.3125,NS
13,hsa-mir-105-5p,11,1,5.7395,4.07500000002675e-13,0.003173828125,0.999755859375,UP
14,hsa-mir-106b-3p,6,0,1.025,1.218e-14,0.015625,1.0,UP
15,hsa-mir-107,0,0,0.522,6.753e-12,,,NS
16,hsa-mir-10a-3p,4,2,0.582,1.38e-13,0.34375,0.890625,NS
17,hsa-mir-10b-3p,2,4,-0.918,2.63e-13,0.890625,0.34375,NS
18,hsa-mir-10b-5p,2,6,-0.922,4.91e-17,0.96484375,0.14453125,NS
19,hsa-mir-1180-3p,5,2,0.791,1.16e-06,0.2265625,0.9375,NS
20,hsa-mir-122-3p,2,0,2.156,5.79e-07,0.25,1.0,NS
21,hsa-mir-122-5p,6,0,2.9985,0.0007135,0.015625,1.0,UP
22,hsa-mir-124-3p,2,2,0.25,1.3054500000000001e-06,0.6875,0.6875,NS
23,hsa-mir-1247-5p,1,6,-1.3275,3.0060450000000005e-07,0.9921875,0.0625,NS
24,hsa-mir-125a-3p,1,1,-0.6565,4.050665e-06,0.75,0.75,NS
25,hsa-mir-125a-5p,2,4,-0.6,1.13e-11,0.890625,0.34375,NS
26,hsa-mir-125b-1-3p,1,4,-0.851,2.8020000000000003e-05,0.96875,0.1875,NS
27,hsa-mir-125b-2-3p,2,6,-1.031,9.32e-09,0.96484375,0.14453125,NS
28,hsa-mir-125b-5p,2,6,-0.711,5.31e-10,0.96484375,0.14453125,NS
29,hsa-mir-126-3p,1,4,-0.858,6.2e-23,0.96875,0.1875,NS
30,hsa-mir-126-5p,1,6,-1.068,8.304999999999999e-28,0.9921875,0.0625,NS
31,hsa-mir-1269a,12,1,4.289,4.67e-19,0.001708984375,0.9998779296875,UP
32,hsa-mir-127-3p,1,6,-1.237,4.122e-13,0.9921875,0.0625,NS
33,hsa-mir-127-5p,3,3,-0.599,7.43e-12,0.65625,0.65625,NS
34,hsa-mir-1271-5p,2,2,-0.566,2.581e-09,0.6875,0.6875,NS
35,hsa-mir-128-3p,2,0,0.747,4.72e-08,0.25,1.0,NS
36,hsa-mir-1287-5p,0,1,-0.009999999999999995,2.4e-05,1.0,0.5,NS
