MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT102960,Homo sapiens,Homo sapiens,hsa-miR-1269a,EN2,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT387960,Homo sapiens,Homo sapiens,hsa-miR-1269a,H6PD,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT467709,Homo sapiens,Homo sapiens,hsa-miR-1269a,SLC38A2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT476939,Homo sapiens,Homo sapiens,hsa-miR-1269a,FAM83G,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT482879,Homo sapiens,Homo sapiens,hsa-miR-1269a,CACNA2D3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT488332,Homo sapiens,Homo sapiens,hsa-miR-1269a,SCD,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT490372,Homo sapiens,Homo sapiens,hsa-miR-1269a,LHFPL3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT497239,Homo sapiens,Homo sapiens,hsa-miR-1269a,FITM2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT503065,Homo sapiens,Homo sapiens,hsa-miR-1269a,C6orf120,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT509318,Homo sapiens,Homo sapiens,hsa-miR-1269a,HIST1H2AG,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT513836,Homo sapiens,Homo sapiens,hsa-miR-1269a,KCTD15,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT531537,Homo sapiens,Homo sapiens,hsa-miR-1269a,KCNMB1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT537566,Homo sapiens,Homo sapiens,hsa-miR-1269a,ESYT2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT572653,Homo sapiens,Homo sapiens,hsa-miR-1269a,ZNF425,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT572866,Homo sapiens,Homo sapiens,hsa-miR-1269a,OPHN1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT615522,Homo sapiens,Homo sapiens,hsa-miR-1269a,SPANXN5,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT615603,Homo sapiens,Homo sapiens,hsa-miR-1269a,SPANXN1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT623255,Homo sapiens,Homo sapiens,hsa-miR-1269a,MGAT5,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT626457,Homo sapiens,Homo sapiens,hsa-miR-1269a,CMKLR1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT647222,Homo sapiens,Homo sapiens,hsa-miR-1269a,OR6A2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT657121,Homo sapiens,Homo sapiens,hsa-miR-1269a,ITPRIPL1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT659110,Homo sapiens,Homo sapiens,hsa-miR-1269a,DENND6A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT665864,Homo sapiens,Homo sapiens,hsa-miR-1269a,TIAF1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT667312,Homo sapiens,Homo sapiens,hsa-miR-1269a,MYO18A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT687220,Homo sapiens,Homo sapiens,hsa-miR-1269a,PLAGL2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT690442,Homo sapiens,Homo sapiens,hsa-miR-1269a,REPIN1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT693725,Homo sapiens,Homo sapiens,hsa-miR-1269a,ACACA,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT716958,Homo sapiens,Homo sapiens,hsa-miR-1269a,P2RY6,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT724354,Homo sapiens,Homo sapiens,hsa-miR-1269a,RNF165,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT724838,Homo sapiens,Homo sapiens,hsa-miR-1269a,ATAD2B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT732043,Homo sapiens,Homo sapiens,hsa-miR-1269a,SOX6,1,0,1,0,0,0,0,0,0,2,1,Tier C: Middle
MIRT732574,Homo sapiens,Homo sapiens,hsa-miR-1269a,BCL2L1,0,0,1,1,0,0,0,0,0,2,0,Tier D: Low
MIRT732575,Homo sapiens,Homo sapiens,hsa-miR-1269a,SYK,0,0,1,1,0,0,0,0,0,2,0,Tier D: Low
