MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT038280,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,ASF1B,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038281,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,MACC1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038282,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,ADPRHL2,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038283,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,MYBPC1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038284,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,NCOR2,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038285,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,DPYSL5,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038286,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,EMC1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038287,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,DDX3X,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038288,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,CDC5L,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038289,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,OGDHL,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038290,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,SRCAP,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038291,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,POLD3,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038292,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,PDS5A,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038293,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,COX6B1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038294,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,COPB1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038295,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,BRAT1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038296,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,NOTCH2,0,0,0,0,1,0,1,1,0,2,3,Tier B: High
MIRT038297,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,RPL8,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038298,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,HBS1L,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038299,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,MFSD6,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038300,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,SSH2,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038301,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,PTPN11,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038302,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,PAGR1,0,0,0,0,1,0,1,1,0,2,3,Tier B: High
MIRT038303,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,ALDH1B1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038304,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,TTC3,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038305,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,EP300,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038306,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,PCDHGB4,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038307,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,CDC37L1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038308,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,HELZ,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038309,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,JMY,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038310,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,MEIS3,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038311,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,SMG5,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038312,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,FAM72A,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038313,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,CGNL1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038314,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,HNRNPR,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038315,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,WEE1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038316,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,HSPA8,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038317,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,CHD1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038318,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,FASN,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038319,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,PDHA1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038320,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,DZIP3,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT038321,Homo sapiens,Homo sapiens,hsa-miR-130b-5p,CSE1L,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
