MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT001103,Homo sapiens,Homo sapiens,hsa-miR-421,RBMXL1,0,1,1,0,0,0,0,0,1,3,1,Tier D: Low
MIRT001104,Homo sapiens,Homo sapiens,hsa-miR-421,CBX7,0,1,1,0,0,0,0,0,1,3,1,Tier D: Low
MIRT003215,Homo sapiens,Homo sapiens,hsa-miR-421,ATM,1,1,1,0,0,0,0,0,1,4,3,Tier B: High
MIRT006190,Homo sapiens,Homo sapiens,hsa-miR-421,SMAD4,1,1,1,0,0,0,0,0,0,3,1,Tier B: High
MIRT016100,Homo sapiens,Homo sapiens,hsa-miR-421,NSL1,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016101,Homo sapiens,Homo sapiens,hsa-miR-421,SRSF7,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016102,Homo sapiens,Homo sapiens,hsa-miR-421,GID8,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016103,Homo sapiens,Homo sapiens,hsa-miR-421,EIF3K,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016104,Homo sapiens,Homo sapiens,hsa-miR-421,MAPK8,0,0,0,0,1,0,0,1,0,1,2,Tier C: Middle
MIRT016105,Homo sapiens,Homo sapiens,hsa-miR-421,LIMS1,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016106,Homo sapiens,Homo sapiens,hsa-miR-421,ZNF30,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016107,Homo sapiens,Homo sapiens,hsa-miR-421,GID4,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016108,Homo sapiens,Homo sapiens,hsa-miR-421,DDX39A,0,0,0,0,1,0,0,1,0,1,2,Tier C: Middle
MIRT016109,Homo sapiens,Homo sapiens,hsa-miR-421,ZNF678,0,0,0,0,1,0,1,1,1,4,3,Tier B: High
MIRT016110,Homo sapiens,Homo sapiens,hsa-miR-421,MIS18BP1,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016111,Homo sapiens,Homo sapiens,hsa-miR-421,NXPE3,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016112,Homo sapiens,Homo sapiens,hsa-miR-421,RNF138,0,0,0,0,1,0,0,1,1,2,2,Tier C: Middle
MIRT016113,Homo sapiens,Homo sapiens,hsa-miR-421,LIN7C,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016114,Homo sapiens,Homo sapiens,hsa-miR-421,RGMB,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016115,Homo sapiens,Homo sapiens,hsa-miR-421,SREK1IP1,0,0,0,0,1,0,0,1,1,2,2,Tier C: Middle
MIRT016116,Homo sapiens,Homo sapiens,hsa-miR-421,TAF9,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016117,Homo sapiens,Homo sapiens,hsa-miR-421,NR6A1,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016118,Homo sapiens,Homo sapiens,hsa-miR-421,CD46,0,0,0,0,1,0,1,0,0,3,3,Tier C: Middle
MIRT016119,Homo sapiens,Homo sapiens,hsa-miR-421,NDC1,0,0,0,0,1,0,0,1,1,2,2,Tier C: Middle
MIRT016120,Homo sapiens,Homo sapiens,hsa-miR-421,CREBZF,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016121,Homo sapiens,Homo sapiens,hsa-miR-421,POLR2D,0,0,0,0,1,0,1,0,0,2,5,Tier C: Middle
MIRT016122,Homo sapiens,Homo sapiens,hsa-miR-421,CEBPB,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016123,Homo sapiens,Homo sapiens,hsa-miR-421,FAM160B1,0,0,0,0,1,0,1,0,0,2,3,Tier C: Middle
MIRT016124,Homo sapiens,Homo sapiens,hsa-miR-421,VAPA,0,0,0,0,1,0,0,1,1,2,2,Tier C: Middle
MIRT016125,Homo sapiens,Homo sapiens,hsa-miR-421,DDX3X,0,0,0,0,1,0,1,0,0,5,3,Tier C: Middle
MIRT016126,Homo sapiens,Homo sapiens,hsa-miR-421,CREBRF,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016127,Homo sapiens,Homo sapiens,hsa-miR-421,FAM122A,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016128,Homo sapiens,Homo sapiens,hsa-miR-421,DNAJC27,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016129,Homo sapiens,Homo sapiens,hsa-miR-421,ZFP36L2,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016130,Homo sapiens,Homo sapiens,hsa-miR-421,RND3,0,0,0,0,1,0,1,0,0,2,1,Tier C: Middle
MIRT016131,Homo sapiens,Homo sapiens,hsa-miR-421,ATG2B,0,0,0,0,1,0,1,1,1,3,4,Tier B: High
MIRT016132,Homo sapiens,Homo sapiens,hsa-miR-421,TTC37,0,0,0,0,1,0,0,0,0,1,1,Tier D: Low
MIRT016133,Homo sapiens,Homo sapiens,hsa-miR-421,RBBP7,0,0,0,0,1,0,0,1,1,2,2,Tier C: Middle
MIRT016134,Homo sapiens,Homo sapiens,hsa-miR-421,AFF4,0,0,0,0,1,0,1,1,1,3,2,Tier B: High
MIRT016135,Homo sapiens,Homo sapiens,hsa-miR-421,NIPBL,0,0,0,0,1,0,0,1,1,2,2,Tier C: Middle
MIRT039353,Homo sapiens,Homo sapiens,hsa-miR-421,LMCD1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT039354,Homo sapiens,Homo sapiens,hsa-miR-421,RANBP2,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT039355,Homo sapiens,Homo sapiens,hsa-miR-421,USO1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT039356,Homo sapiens,Homo sapiens,hsa-miR-421,AP3B1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT039357,Homo sapiens,Homo sapiens,hsa-miR-421,PAXBP1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
