MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT016259,Homo sapiens,Homo sapiens,hsa-miR-512-3p,CFLAR,0,0,0,0,0,0,0,0,1,1,1,Tier D: Low
MIRT056488,Homo sapiens,Homo sapiens,hsa-miR-512-3p,PFKP,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT057395,Homo sapiens,Homo sapiens,hsa-miR-512-3p,TNKS2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT071387,Homo sapiens,Homo sapiens,hsa-miR-512-3p,CMPK1,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT1002802,Homo sapiens,Homo sapiens,hsa-miR-512-3p,FOXN3,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1004529,Homo sapiens,Homo sapiens,hsa-miR-512-3p,FRMD4A,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1005154,Homo sapiens,Homo sapiens,hsa-miR-512-3p,FRS2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1010576,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GALM,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1011365,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GALNT4,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1013762,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GBAS,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1014031,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GBP4,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1015493,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GDAP2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1015594,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GDE1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1018224,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GGPS1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1018312,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GGT6,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1019327,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GINS4,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1023471,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GNAL,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1025388,Homo sapiens,Homo sapiens,hsa-miR-512-3p,GNPNAT1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
